,"CO2, ppm","TGAS, °C"
2017-05-04 11:39:58 AM ,428.3,14.28
2017-05-04 11:40:13 AM ,430.5,14.33
2017-05-04 11:40:28 AM ,441.3,14.42
2017-05-04 11:40:43 AM ,452.4,14.42
2017-05-04 11:40:58 AM ,466.2,14.56
2017-05-04 11:41:13 AM ,479.6,14.59
2017-05-04 11:41:28 AM ,491.2,14.70
2017-05-04 11:41:43 AM ,501.8,14.84
2017-05-04 11:41:58 AM ,511.8,14.98
2017-05-04 11:42:13 AM ,525.6,15.09
2017-05-04 11:42:28 AM ,536.3,15.12
2017-05-04 11:42:43 AM ,547.4,15.32
2017-05-04 11:42:58 AM ,556.5,15.40
2017-05-04 11:43:13 AM ,566.2,15.54
2017-05-04 11:43:28 AM ,575.5,15.66
