,"CO2, ppm","TGAS, °C"
2017-05-04 11:09:00 AM ,429.2,13.83
2017-05-04 11:09:15 AM ,431.8,13.83
2017-05-04 11:09:30 AM ,439.9,13.80
2017-05-04 11:09:45 AM ,447.8,13.77
2017-05-04 11:10:00 AM ,448.9,13.80
2017-05-04 11:10:15 AM ,456.4,13.71
2017-05-04 11:10:30 AM ,464.8,13.74
2017-05-04 11:10:45 AM ,470.7,13.71
2017-05-04 11:11:00 AM ,474.6,13.71
2017-05-04 11:11:15 AM ,480.8,13.71
2017-05-04 11:11:30 AM ,482.5,13.71
2017-05-04 11:11:45 AM ,487.0,13.68
2017-05-04 11:12:00 AM ,487.6,13.71
2017-05-04 11:12:15 AM ,493.0,13.66
